transaction_id,card_number,card_type,expiration_date,cvv,card_holder_name,billing_address,billing_city,billing_state,billing_postal_code,billing_country,transaction_amount,transaction_date,merchant_name,merchant_category,transaction_description,transaction_type,currency_code,exchange_rate,conversion_amount,conversion_date,transaction_status,authorization_code,payment_gateway,transaction_reference_number,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_postal_code
1,3539570348699873,Visa,10/20/2027,155,Hakim Basler,95740 Village Place,San Antonio de los Cobres,,4411,Argentina,5518.55,8/29/2022,Trupe,Travel,ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at,Cash Advance,ARS,1.7687,5472.69,6/16/2024,Approved,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,Reallinks,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,Brose McAdam,bmcadam0@apple.com,126-529-6142,24472 Dennis Crossing,Säffle,S,661 42
2,3544590951119905,American Express,12/17/2022,258,Orion Orlton,882 Rowland Way,Natarleba,,,Indonesia,6201.87,9/14/2023,Myworks,Dining,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,Refund,IDR,1.8194,9106.69,8/26/2025,Pending,in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt,Thoughtbeat,mattis odio donec vitae nisi nam ultrices libero non mattis,Wendie Tossell,wtossell1@imageshack.us,737-374-5445,9247 Sutherland Plaza,Hengelo,15,7554
3,5602218758212794795,Mastercard,8/28/2025,745,Lauryn Oakenford,12 Artisan Hill,Fonteleite,13,4745-530,Portugal,1389.79,1/13/2022,Browsezoom,Entertainment,posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,Refund,EUR,1.5303,9392.63,10/6/2027,Approved,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis,Meemm,sit amet erat nulla tempus vivamus in felis eu sapien cursus,Florie Latey,flatey2@guardian.co.uk,239-383-8718,2075 Prairie Rose Drive,Gaurnadi,,8242
4,4175006898558265,Mastercard,5/2/2028,779,Brier Oswal,4715 Scoville Center,Mandeman Daya,,,Indonesia,4585.84,8/25/2026,Voomm,Travel,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,Purchase,IDR,1.9334,4952.2,2/1/2023,Declined,nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,Youspan,in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,Augy Bidewel,abidewel3@utexas.edu,387-503-0151,42 Valley Edge Junction,Waterloo,ON,N2L
5,3568330225380475,American Express,2/12/2024,866,Almeta McFade,4304 Crowley Trail,Stubno,,37-723,Poland,757.85,2/18/2022,Quinu,Travel,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,Cash Advance,PLN,0.6907,2357.06,6/16/2030,Approved,nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,Kare,a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla,Zea Brinkler,zbrinkler4@patch.com,840-858-9615,7550 Eggendart Drive,Boavista,18,4690-696
6,561078435039799941,Visa,8/23/2029,505,Misti Swiffen,8747 Raven Place,Sukasari,,,Indonesia,1945.54,6/30/2024,Blogtags,Travel,pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat,Purchase,IDR,0.9141,2380.31,12/18/2027,Pending,tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non,Topiczoom,faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut,Nady Coupe,ncoupe5@oakley.com,329-759-1694,09459 Schmedeman Alley,Pregrada,,49218
7,3536034598372825,American Express,5/21/2026,118,Moritz Miquelet,54212 Clemons Center,Casa Nova,11,2655-425,Portugal,8148.34,5/24/2025,Dynabox,Dining,ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum,Purchase,EUR,1.7512,844.44,1/16/2029,Approved,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra,Trilith,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,Ethan Hauger,ehauger6@g.co,595-161-9282,1104 Lerdahl Center,Daegu,,
8,3582816423966893,Mastercard,9/16/2024,836,Kata Center,312 Sundown Alley,Yên Lạc,,,Vietnam,6803.74,10/14/2024,Divavu,Retail,pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non,Cash Advance,VND,1.3328,9729.19,10/23/2028,Approved,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,Livepath,in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,Devinne Van Halle,dvan7@photobucket.com,837-961-2017,0 Grover Hill,Padangtikar,,
9,5108755136922852,Mastercard,1/27/2022,684,Mavra Arne,043 Schlimgen Point,Birowo,,,Indonesia,7871.13,12/7/2030,Skipfire,Entertainment,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,Purchase,IDR,0.8848,51.61,11/8/2024,Pending,aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor,Trilia,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,Valene Foulger,vfoulger8@lulu.com,526-674-6659,288 Bultman Hill,Kayakent,,368562
10,5641827733917405,American Express,11/28/2026,595,Chen Blyden,0 Porter Pass,Corpus Christi,TX,78410,United States,4773.44,5/3/2026,Photobug,Entertainment,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,Cash Advance,USD,1.2449,4557.89,5/3/2027,Declined,dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,Innotype,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,Bird Gay,bgay9@theguardian.com,361-828-6854,9 Marquette Place,Daoqiao,,
